"Category","Annual Mean","5-yr smooth"
"1901",7.61,7.29
"1902",6.34,7.27
"1903",7.59,7.25
"1904",7.45,7.26
"1905",7.52,7.3
"1906",8.02,7.37
"1907",7.06,7.48
"1908",7.5,7.62
"1909",6.61,7.76
"1910",8.34,7.87
"1911",8.49,7.93
"1912",7.34,7.92
"1913",8.26,7.84
"1914",8.61,7.72
"1915",6.65,7.59
"1916",7.55,7.47
"1917",7.14,7.39
"1918",7.71,7.36
"1919",6.64,7.36
"1920",8,7.38
"1921",8.34,7.4
"1922",6.48,7.39
"1923",6.86,7.36
"1924",7,7.32
"1925",8.03,7.29
"1926",7.87,7.28
"1927",7.24,7.31
"1928",7.27,7.39
"1929",6.7,7.51
"1930",8.37,7.66
"1931",6.98,7.82
"1932",8.22,7.98
"1933",7.99,8.14
"1934",9.19,8.26
"1935",8.06,8.33
"1936",8.1,8.31
"1937",7.98,8.19
"1938",8.82,7.96
"1939",8.18,7.64
"1940",6.18,7.33
"1941",6.3,7.09
"1942",5.98,6.99
"1943",8.55,7.11
"1944",8.18,7.41
"1945",8.54,7.81
"1946",7.76,8.21
"1947",7.37,8.51
"1948",8.49,8.62
"1949",9.11,8.52
"1950",8.16,8.28
"1951",8.08,7.99
"1952",7.17,7.71
"1953",8.75,7.53
"1954",7.37,7.49
"1955",7.33,7.55
"1956",6.71,7.65
"1957",8.02,7.76
"1958",7.32,7.82
"1959",8.74,7.8
"1960",7.64,7.72
"1961",8.45,7.61
"1962",6.98,7.49
"1963",6.68,7.38
"1964",7.5,7.32
"1965",7.01,7.29
"1966",7.12,7.32
"1967",8.4,7.38
"1968",7.88,7.48
"1969",7.35,7.63
"1970",6.94,7.79
"1971",8.16,7.96
"1972",7.82,8.09
"1973",8.16,8.18
"1974",8.48,8.19
"1975",8.94,8.13
"1976",7.7,8.01
"1977",7.86,7.86
"1978",7.52,7.7
"1979",6.62,7.54
"1980",7.28,7.4
"1981",7.38,7.3
"1982",8.08,7.26
"1983",8.49,7.28
"1984",7.99,7.4
"1985",6.51,7.6
"1986",7.06,7.84
"1987",6.56,8.1
"1988",8.54,8.32
"1989",9.31,8.48
"1990",9.5,8.53
"1991",8.23,8.51
"1992",9.02,8.43
"1993",7.7,8.33
"1994",8.63,8.24
"1995",8.35,8.18
"1996",6.82,8.17
"1997",8.43,8.19
"1998",8.14,8.26
"1999",8.86,8.36
"2000",9.23,8.51
"2001",8.22,8.68
"2002",9.08,8.85
"2003",8.59,8.98
"2004",8.63,9.06
"2005",8.7,9.06
"2006",9.29,8.99
"2007",9.45,8.87
"2008",9.48,8.74
"2009",8.82,8.64
"2010",7.03,8.59
"2011",9.01,8.61
"2012",8.4,8.7
"2013",8.53,8.82
"2014",10.1,8.96
"2015",9.23,9.11
"2016",9.02,9.25
"2017",8.9,9.38
"2018",9.51,9.51
"2019",9.56,9.63
"2020",9.98,9.75